Year,Cause Name,State,Deaths,Age-adjusted Death Rate,State Population,Death Proportion
2016,Cancer,Kentucky,10363,193.8,4438229,2.3349
2016,Cancer,Kansas,5484,158.6,2911263,1.8837
2016,Cancer,Iowa,6432,159.8,3131785,2.0538
2016,Cancer,Indiana,13424,172.5,6633344,2.0237
2016,Cancer,Illinois,24389,163.5,12826895,1.9014
2016,Cancer,Idaho,2884,150.9,1682930,1.7137
2016,Cancer,Hawaii,2401,128.7,1428105,1.6812
2016,Cancer,Georgia,17184,160.2,10304763,1.6676
2016,Cancer,Florida,44266,146.9,20629982,2.1457
2016,Cancer,District of Columbia,1044,160.1,686575,1.5206
2016,Cancer,Delaware,2124,170.8,949216,2.2376
2016,Cancer,Connecticut,6696,144.9,3578674,1.8711
2016,Cancer,Colorado,7928,137.1,5540921,1.4308
2016,Cancer,California,59515,139.7,39209127,1.5179
2016,Cancer,Arkansas,6612,178.8,2990410,2.2111
2016,Cancer,Arizona,11876,136.8,6945452,1.7099
2016,Cancer,Alaska,995,158.7,741504,1.3419
2016,Cancer,Alabama,10419,174,4864745,2.1417
2016,CLRD,Wyoming,327,48.9,584290,0.5597
2016,CLRD,Wisconsin,2786,38.3,5772958,0.4826
2016,CLRD,West Virginia,1599,62.1,1830929,0.8733
2016,CLRD,Washington,3036,37.3,7294680,0.4162
2016,CLRD,Virginia,3233,34.6,8410946,0.3844
2016,CLRD,Vermont,355,41.3,623644,0.5692
2016,CLRD,Utah,875,35.8,3042613,0.2876
2016,CLRD,United States,154596,40.6,323071342,0.4785
2016,CLRD,Texas,10107,39.5,27937492,0.3618
2016,CLRD,Tennessee,4318,54.7,6645011,0.6498
2016,CLRD,South Dakota,426,38.3,862890,0.4937
2016,CLRD,South Carolina,2870,47.5,4958235,0.5788
2016,CLRD,Rhode Island,445,31.3,1057063,0.421
2016,CLRD,Pennsylvania,6523,36.8,12783538,0.5103
2016,CLRD,Oregon,2080,40.4,4091404,0.5084
2016,CLRD,Oklahoma,2794,61.4,3926769,0.7115
2016,CLRD,Ohio,7015,47.5,11635003,0.6029
2016,CLRD,North Dakota,314,34.7,754353,0.4163
2016,CLRD,North Carolina,5311,44.8,10156679,0.5229
2016,CLRD,New York,6860,28.4,19641589,0.3493
2016,CLRD,New Mexico,1131,44.4,2092789,0.5404
2016,CLRD,New Jersey,3064,27.9,8874516,0.3453
2016,CLRD,New Hampshire,684,39.3,1342373,0.5095
2016,CLRD,Nevada,1778,56.6,2919772,0.609
2016,CLRD,Nebraska,1117,48.9,1905924,0.5861
2016,CLRD,Montana,722,51.9,1040863,0.6937
2016,CLRD,Missouri,3961,52.1,6087203,0.6507
2016,CLRD,Mississippi,2116,62,2988298,0.7081
2016,CLRD,Minnesota,2369,35.8,5523409,0.4289
2016,CLRD,Michigan,5572,44.4,9951890,0.5599
2016,CLRD,Massachusetts,2674,31.4,6826022,0.3917
2016,CLRD,Maryland,2072,30.5,6004692,0.3451
2016,CLRD,Maine,928,47.4,1331370,0.697
2016,CLRD,Louisiana,2221,43,4678215,0.4748
2016,CLRD,Kentucky,3486,66.3,4438229,0.7854
2016,CLRD,Kansas,1654,48.3,2911263,0.5681
2016,CLRD,Iowa,2006,48.6,3131785,0.6405
2016,CLRD,Indiana,4214,54.6,6633344,0.6353
2016,CLRD,Illinois,5632,38.1,12826895,0.4391
2016,CLRD,Idaho,865,45.7,1682930,0.514
